time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI,Plot,Plot.1,Oscillator,ATR,CCI,time(hour),time(minute),time(weekday)
2020-10-09 17:00:00+00:00,137.61499999999998,137.77599999999998,137.594,137.672,137.68120833333333,137.74566666666664,137.6243333333333,9213,14470.1,70.29955225123454,0.2178864285714602,0,67.73965947322252,0.2240402040178109,232.20744816349156,17,0,4
2020-10-09 18:00:00+00:00,137.672,137.738,137.64,137.71099999999998,137.68120833333333,137.73808333333332,137.6470833333333,7338,14610.25,71.27564703184301,0.2763275000000371,0,66.0887625586156,0.21503733230225394,195.61480736180087,18,0,4
2020-10-09 19:00:00+00:00,137.71099999999998,137.78799999999998,137.683,137.71200000000002,137.69504166666667,137.7395,137.64249999999998,7527,14684.05,71.30169089347426,0.3309803571428932,0,61.056261719590815,0.2071775228520922,157.6429425730974,19,0,4
2020-10-09 20:00:00+00:00,137.71200000000002,137.82899999999998,137.635,137.732,137.70660416666666,137.75066666666666,137.64295833333333,4726,14275.05,71.85139214336492,0.3694125000000335,0,61.764211647305785,0.2062362712197991,136.10523060825216,20,0,4
2020-10-11 21:00:00+00:00,137.66199999999998,137.85,137.66199999999998,137.754,137.72733333333332,137.76466666666667,137.658,1567,13594.75,72.47593234712124,0.4034260714286067,0,59.333546597014504,0.20493368041838605,120.66789281982895,21,0,6
2020-10-11 22:00:00+00:00,137.754,137.809,137.65599999999998,137.69799999999998,137.72733333333332,137.76466666666667,137.658,7899,13618.7,68.32060526486379,0.42791321428574863,0,56.44951968879894,0.2012241318170742,90.93489013219052,22,0,6
2020-10-11 23:00:00+00:00,137.69799999999998,137.72899999999998,137.618,137.631,137.70600000000002,137.754,137.64733333333334,6401,13615.2,63.62077858524517,0.4289707142857513,0,49.61001941019064,0.1947795509729968,64.89487455341839,23,0,6
2020-10-12 00:00:00+00:00,137.631,137.654,137.52499999999998,137.613,137.7078125,137.76874999999998,137.63333333333333,12239,14031.45,62.37926135630412,0.42284928571432295,0,51.462869922424574,0.19008101161778407,54.01537947176651,0,0,0
2020-10-12 01:00:00+00:00,137.613,137.64700000000002,137.517,137.611,137.63493749999998,137.739,137.5725,17137,14568.55,62.23394206998489,0.41630321428575146,0,51.40926071510108,0.185789510787942,48.33021768457797,1,0,0
2020-10-12 02:00:00+00:00,137.611,137.613,137.474,137.49200000000002,137.6385,137.709,137.53666666666666,5889,14213.25,54.15064869885325,0.3917610714286116,0,47.86582507584839,0.18244740287451827,12.688761382794066,2,0,0
